#  id  name  ra  dec   id  logM_50  logSFR_50  logOH_50  tauV_50 logAGE_50 zzz_50 nn_50 VJ_50 UV_50 logM_16 logSFR_16 logOH_16 tauV_16 logAGE_16 zzz_16 nn_16 VJ_16 UV_16 logM_84 logSFR_84 logOH_84 tauV_84 logAGE_84 zzz_84 nn_84 VJ_84 UV_84
  8979   HST04Mur 53.147113 -27.827764 8979  9.519  0.579  8.278 0.579 8.085 1.631 -0.765 0.322 0.547 9.462  -0.567 7.24  0.342 7.876 1.589 -0.94  0.286  0.514 9.593  0.821  9.188 1.763 8.381 1.662 -0.602 0.371 0.585
  9312   HST04Bon 53.06735  -27.828281 9312  10.995 1.868  7.698 2.314 9.085 0.64  -0.969 1.43  1.671 10.965 1.522  7.152 2.289 8.929 0.604 -0.995 1.405  1.582 11.109 2.03   8.532 2.876 9.212 0.674 -0.81  1.471 1.721
  9607   GSD11Lin 53.124163 -27.822015 9607  8.86   0.1    7.37  0.467 8.813 0.797 -0.498 0.525 0.54  8.801  -0.056 7.352 0.439 8.726 0.728 -0.708 0.488  0.497 8.895  0.158  8.302 0.679 8.83  0.829 -0.416 0.547 0.618
  9726   HST04Ken 53.186258 -27.822992 9726  10.005 0.32   8.462 0.939 9.138 0.531 -0.649 0.855 1.03  9.925  -0.368 7.461 0.446 9.001 0.498 -0.894 0.816  0.958 10.076 0.822  9.197 2.06  9.245 0.569 -0.524 0.896 1.069
  9935   GSD12Qua 53.048805 -27.819803 9935  9.803  1.436  8.646 0.539 7.992 2.558 -0.602 0.138 0.415 9.755  1.181  7.704 0.318 7.93  2.519 -0.805 0.08   0.321 9.853  1.482  8.705 0.667 8.313 2.584 -0.556 0.195 0.455
  10565  HST05Gal 53.137196 -27.815656 10565 10.312 0.865  8.699 1.344 8.968 0.793 -0.657 0.921 1.051 10.203 0.349  7.684 0.866 8.826 0.747 -0.837 0.887  1.007 10.385 1.054  9.225 2.024 9.058 0.828 -0.485 0.955 1.091
  11239  2002hs   53.077238 -27.809483 11239 10.008 1.449  9.131 0.619 8.572 1.387 -0.426 0.624 0.501 9.97   1.347  8.914 0.6   8.53  1.365 -0.598 0.541  0.482 10.047 1.48   9.143 0.819 8.587 1.408 -0.423 0.663 0.582
  11855  GSD11Bus 53.178232 -27.801973 11855 8.36   -0.327 8.084 1.59  8.478 1.472 -0.611 0.626 0.856 8.202  -1.364 7.551 0.843 8.117 1.43  -0.863 0.468  0.749 8.5    0.158  8.758 2.281 8.772 1.533 -0.465 0.72  0.921
  12050  GSD11Wor 53.044708 -27.801984 12050 10.692 2.489  9.278 2.913 8.668 0.817 -0.673 1.738 1.382 10.671 2.429  9.269 2.898 8.657 0.798 -0.675 1.704  1.365 10.72  2.531  9.287 2.928 8.678 0.835 -0.671 1.769 1.399
  12984  2002lg   53.148958 -27.799686 12984 11.221 -0.551 7.423 1.667 9.528 0.613 -0.569 1.415 1.901 11.081 -3.0   7.0   1.238 9.476 0.595 -0.791 1.347  1.853 11.267 -0.103 8.473 1.781 9.64  0.631 -0.462 1.493 1.934
  13858  GSD11Van 53.079185 -27.788426 13858 9.435  0.717  7.698 2.545 8.88  0.766 -0.707 1.174 1.404 9.266  0.214  7.246 2.023 8.649 0.71  -0.941 1.102  1.31  9.531  0.92   8.614 2.88  9.045 0.823 -0.562 1.226 1.469
  14251  GSD11For 53.059666 -27.786987 14251 10.529 1.373  8.519 2.682 9.164 0.561 -0.891 1.493 1.69  10.425 -0.284 7.313 2.031 8.87  0.535 -0.933 1.424  1.628 10.654 1.772  9.162 3.115 9.307 0.589 -0.673 1.548 1.734
  14703  HST04Gre 53.089575 -27.782867 14703 8.671  -1.0   8.173 0.261 8.347 1.843 -0.598 0.322 0.57  8.589  -1.652 7.447 0.052 8.144 1.781 -0.854 0.262  0.52  8.746  -0.355 8.962 1.104 8.534 1.892 -0.436 0.386 0.615
