#   id name ra dec id logM_50 logSFR_50 logOH_50 tauV_50 logAGE_50 zzz_50 nn_50 VJ_50 UV_50 logM_16 logSFR_16 logOH_16 tauV_16 logAGE_16 zzz_16 nn_16 VJ_16 UV_16 logM_84 logSFR_84 logOH_84 tauV_84 logAGE_84 zzz_84 nn_84 VJ_84 UV_84
  6969   2003dy    189.28795  62.191383  6969  9.819  1.231  9.128 0.639 8.314 1.351 -0.522 0.484  0.482 9.767  -0.356 8.643 0.602 8.157 1.32  -0.786 0.38   0.443  9.858  1.31   9.171 1.485 8.403 1.39  -0.424 0.508  0.639
  7065   2003lv    189.370638 62.191056  7065  10.898 -0.68  8.258 0.325 9.548 0.937 -0.834 1.169  1.733 10.873 -0.902 7.792 0.158 9.514 0.909 -0.921 1.128  1.693  10.935 -0.313 8.792 0.897 9.604 0.977 -0.682 1.192  1.756
  7220   GND13jay  189.172358 62.191533  7220  11.107 2.032  9.269 2.395 8.887 1.066 -0.726 1.359  1.376 11.035 1.395  7.585 2.37  8.791 1.022 -0.73  1.322  1.339  11.151 2.108  9.284 3.04  8.976 1.09  -0.695 1.39   1.402
  7338   HST05Ton  189.256438 62.191392  7338  10.759 1.684  9.03  2.203 8.908 0.785 -0.53  1.107  1.179 10.671 0.628  8.172 2.122 8.841 0.75  -0.566 1.087  1.1    10.859 2.098  9.065 3.28  9.08  0.825 -0.431 1.136  1.226
  7401   K0404-003 189.122667 62.194947  7401  7.834  -0.979 7.499 0.086 8.82  0.757 -0.731 0.289  0.486 7.754  -3.0   7.293 0.01  8.615 0.717 -0.823 0.176  0.348  8.139  -0.847 7.932 0.127 9.071 0.784 -0.462 0.519  0.534
  7699   HST05Srp  189.195329 62.195892  7699  9.622  0.089  8.219 0.312 8.712 1.052 -0.563 0.505  0.691 9.572  -0.6   7.454 0.117 8.607 1.016 -0.871 0.471  0.633  9.676  0.483  8.922 1.089 8.769 1.087 -0.433 0.542  0.733
  7904   GND13reh  189.22685  62.197897  7904  8.789  0.41   8.399 0.108 8.7   0.973 -0.735 -0.127 0.303 8.75   0.373  7.629 0.082 8.658 0.955 -0.77  -0.165 0.278  8.921  0.477  8.414 0.174 8.733 0.991 -0.731 -0.094 0.537
  7907   GND13bid  189.172558 62.195181  7907  10.99  2.02   9.351 1.985 8.636 1.591 -0.879 1.142  1.182 10.973 1.996  9.343 1.971 8.626 1.573 -0.881 1.128  1.168  11.007 2.045  9.36  1.999 8.647 1.608 -0.877 1.155  1.196
  8478   HST05Gab  189.057692 62.202083  8478  8.363  -0.596 7.994 0.211 9.121 0.818 -0.485 0.252  0.737 8.346  -0.62  7.986 0.198 9.111 0.801 -0.487 0.239  0.723  8.381  -0.572 8.002 0.225 9.131 0.836 -0.483 0.266  0.751
  8501   HST04Cay  189.362917 62.202125  8501  9.42   0.812  8.994 0.528 8.084 2.918 -0.73  0.354  0.47  9.364  -0.862 7.87  0.396 7.858 2.878 -0.976 0.249  0.295  9.485  1.053  9.179 2.418 8.38  2.944 -0.561 0.437  0.549
